"id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at","customer_id","executive_id","followup_date_en","followup_date_np","followup_mode","followup_status","followup_notes","next_followup","next_followup_date_en","next_followup_date_np"
"23","110","110","\N","2016-12-21 17:22:17","2016-12-21 17:22:17","\N","2771","10","2016-12-23","2073-09-08","\N","Open","\N","\N","\N","\N"
"24","110","110","\N","2016-12-21 17:27:54","2016-12-21 17:27:54","\N","2772","10","2016-12-23","2073-09-08","\N","Open","\N","\N","\N","\N"
"25","110","110","\N","2016-12-21 17:30:53","2016-12-21 17:30:53","\N","2773","10","2016-12-23","2073-09-08","\N","Open","\N","\N","\N","\N"
"26","110","110","\N","2016-12-21 17:40:27","2016-12-21 17:40:27","\N","2774","10","2016-12-23","2073-09-08","\N","Open","\N","\N","\N","\N"
"27","110","110","\N","2016-12-21 17:43:03","2016-12-21 17:43:03","\N","2775","10","2016-12-23","2073-09-08","\N","Open","\N","\N","\N","\N"
"19","106","106","\N","2016-12-21 15:51:29","2016-12-21 17:45:03","\N","2767","6","2016-12-09","2073-08-16","Email","Completed","DO received","t","2016-12-14","2073-08-29"
"28","106","106","\N","2016-12-21 17:45:03","2016-12-21 17:45:40","\N","2767","6","2016-12-14","2073-08-29","Visit","Completed"," Vehicle delivered to customer","f","\N","\N"
"30","107","107","\N","2016-12-21 17:50:25","2016-12-21 17:50:25","\N","2776","7","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"31","107","107","\N","2016-12-21 17:52:07","2016-12-21 17:52:07","\N","2777","7","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"32","109","109","\N","2016-12-21 17:55:08","2016-12-21 17:55:08","\N","2778","9","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"33","109","109","\N","2016-12-21 17:56:21","2016-12-21 17:56:21","\N","2779","9","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"34","109","109","\N","2016-12-21 17:57:26","2016-12-21 17:57:26","\N","2780","9","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"35","109","109","\N","2016-12-21 17:58:31","2016-12-21 17:58:31","\N","2781","9","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"37","111","111","\N","2016-12-21 18:00:19","2016-12-21 18:00:19","\N","2783","11","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"38","111","111","\N","2016-12-21 18:01:19","2016-12-21 18:01:19","\N","2784","11","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"39","107","107","\N","2016-12-21 18:01:20","2016-12-21 18:01:20","\N","2785","7","2016-12-21","2073-09-06","\N","Open","\N","\N","\N","\N"
"40","111","111","\N","2016-12-21 18:02:11","2016-12-21 18:02:11","\N","2786","11","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"41","111","111","\N","2016-12-21 18:03:14","2016-12-21 18:03:14","\N","2787","11","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"42","107","107","\N","2016-12-21 18:04:35","2016-12-21 18:04:35","\N","2788","7","2016-12-23","2073-09-08","\N","Open","\N","\N","\N","\N"
"44","108","108","\N","2016-12-21 18:08:15","2016-12-21 18:08:15","\N","2790","8","2016-12-22","2073-09-07","\N","Open","\N","\N","\N","\N"
"45","108","108","\N","2016-12-21 18:11:50","2016-12-21 18:11:50","\N","2791","8","2016-12-23","2073-09-08","\N","Open","\N","\N","\N","\N"
"46","108","108","\N","2016-12-21 18:14:18","2016-12-21 18:14:18","\N","2792","8","2016-12-23","2073-09-08","\N","Open","\N","\N","\N","\N"
"47","108","108","\N","2016-12-21 18:16:51","2016-12-21 18:16:51","\N","2793","8","2016-12-23","2073-09-08","\N","Open","\N","\N","\N","\N"
"29","106","106","\N","2016-12-21 17:45:40","2016-12-22 11:38:59","\N","2767","6","2016-12-17","2073-09-02","Phone","Completed","","f","\N","\N"
"57","109","109","\N","2016-12-22 12:41:00","2016-12-22 12:41:00","\N","2802","9","2016-12-25","2073-09-10","\N","Open","\N","\N","\N","\N"
"59","106","106","\N","2016-12-22 12:43:58","2016-12-22 12:43:58","\N","2803","6","2016-11-06","2073-07-21","Phone","Completed","Didn't get the expected valuation of old vehicle.","f","\N","\N"
"61","109","109","\N","2016-12-22 12:47:14","2016-12-22 12:47:14","\N","2804","9","2016-10-20","2073-07-04","\N","Open","\N","\N","\N","\N"
"63","109","109","\N","2016-12-22 12:49:35","2016-12-22 12:49:35","\N","2806","9","2016-10-20","2073-07-04","\N","Open","\N","\N","\N","\N"
"64","109","109","\N","2016-12-22 12:52:34","2016-12-22 12:52:34","\N","2807","9","2016-10-21","2073-07-05","\N","Open","\N","\N","\N","\N"
"65","109","109","\N","2016-12-22 12:55:47","2016-12-22 12:55:47","\N","2808","9","2016-10-21","2073-07-05","\N","Open","\N","\N","\N","\N"
"66","109","109","\N","2016-12-22 12:59:57","2016-12-22 12:59:57","\N","2809","9","2016-11-21","2073-08-06","\N","Open","\N","\N","\N","\N"
"67","109","109","\N","2016-12-22 13:03:19","2016-12-22 13:03:19","\N","2810","9","2016-10-21","2073-07-05","\N","Open","\N","\N","\N","\N"
"68","109","109","\N","2016-12-22 13:13:28","2016-12-22 13:13:28","\N","2811","9","2016-10-23","2073-07-07","\N","Open","\N","\N","\N","\N"
"70","109","109","\N","2016-12-22 13:17:42","2016-12-22 13:17:42","\N","2813","9","2016-10-23","2073-07-07","\N","Open","\N","\N","\N","\N"
"71","109","109","\N","2016-12-22 13:21:42","2016-12-22 13:21:42","\N","2814","9","2016-10-23","2073-07-07","\N","Open","\N","\N","\N","\N"
"73","109","109","\N","2016-12-22 13:25:34","2016-12-22 13:25:34","\N","2816","9","2016-11-06","2073-07-21","\N","Open","\N","\N","\N","\N"
"75","109","109","\N","2016-12-22 13:28:27","2016-12-22 13:28:27","\N","2818","9","2016-10-26","2073-07-10","\N","Open","\N","\N","\N","\N"
"3","2","112","\N","2016-12-19 15:49:54","2016-12-25 12:59:14","\N","2763","9","2016-12-22","2073-09-07","Phone","Completed","","f","\N","\N"
"4","2","112","\N","2016-12-19 15:50:30","2016-12-25 12:59:28","\N","2763","9","2016-12-25","2073-09-10","Others","Completed","","f","\N","\N"
"53","106","106","\N","2016-12-22 11:38:59","2017-01-31 10:35:02","\N","2767","6","2016-12-20","2073-09-05","Phone","Completed","","f","\N","\N"
"18","106","106","\N","2016-12-21 14:11:43","2017-01-31 10:40:01","\N","2767","6","2016-12-01","2073-08-24","Phone","Completed","Send Quotation","f","\N","\N"
"60","106","106","\N","2016-12-22 12:43:58","2017-01-31 10:46:37","\N","2803","6","2016-11-09","2073-07-24","Phone","Completed","","f","\N","\N"
"58","106","106","\N","2016-12-22 12:41:47","2017-01-31 10:48:32","\N","2803","6","2016-11-05","2073-07-20","Phone","Completed","","f","\N","\N"
"56","106","106","\N","2016-12-22 12:03:26","2017-01-31 10:51:42","\N","2801","6","2016-10-22","2073-07-06","Phone","Completed","Planning for next year.","f","\N","\N"
"54","106","106","\N","2016-12-22 11:52:03","2017-01-31 10:51:58","\N","2799","6","2016-10-22","2073-07-06","Phone","Completed","","f","\N","\N"
"12","106","106","\N","2016-12-21 12:11:08","2017-01-31 11:15:54","\N","2736","6","2016-12-26","2073-09-11","Phone","Completed","","f","\N","\N"
"20","104","104","\N","2016-12-21 15:54:42","2017-01-31 11:17:23","\N","2768","4","2016-12-19","2073-09-04","Phone","Completed","","f","\N","\N"
"69","104","104","\N","2016-12-22 13:17:04","2017-01-31 11:24:37","\N","2812","4","2016-12-21","2073-09-06","Phone","Completed","","f","\N","\N"
"36","106","106","\N","2016-12-21 17:58:55","2017-01-31 12:05:21","\N","2782","6","2016-12-18","2073-09-03","Phone","Completed","Not satisfied with the valuation of old vehicle.","f","\N","\N"
"55","106","106","\N","2016-12-22 11:57:50","2017-01-31 12:08:16","\N","2800","6","2017-01-31","2073-10-18","Phone","Completed","","f","\N","\N"
"43","106","106","\N","2016-12-21 18:05:13","2017-01-31 12:09:42","\N","2789","6","2017-01-31","2073-10-18","Phone","Completed","","f","\N","\N"
"74","104","104","\N","2016-12-22 13:26:12","2017-02-06 11:27:58","\N","2817","4","2017-02-06","2073-10-24","Phone","Completed","PLAN POSTPONE","f","\N","\N"
"76","104","104","\N","2016-12-22 13:28:51","2017-02-06 11:28:34","\N","2819","4","2017-02-06","2073-10-24","Phone","Completed","BANK NOT fINALISE","f","\N","\N"
"82","111","111","\N","2016-12-22 15:49:39","2016-12-22 15:49:39","\N","2825","11","2016-10-20","2073-07-04","\N","Open","\N","\N","\N","\N"
"83","111","111","\N","2016-12-22 15:54:54","2016-12-22 15:54:54","\N","2826","11","2016-10-20","2073-07-04","\N","Open","\N","\N","\N","\N"
"84","105","105","\N","2016-12-22 16:02:52","2016-12-22 16:02:52","\N","2057","5","2016-12-22","2073-09-07","Phone","Open","plan postponed for future.","t","2017-01-10","2073-09-26"
"85","109","109","\N","2016-12-22 16:14:29","2016-12-22 16:14:29","\N","2827","\N","2016-12-25","2073-09-10","\N","Open","\N","\N","\N","\N"
"72","104","104","\N","2016-12-22 13:22:31","2016-12-22 16:26:13","\N","2815","4","2016-12-22","2073-09-07","Phone","In Progress","will come showroom with in a week","t","2016-12-29","2073-09-14"
"86","105","105","\N","2016-12-22 16:40:23","2016-12-22 16:40:23","\N","2728","5","2016-12-22","2073-09-07","Phone","Open","required after a month.","t","2017-01-01","2073-09-17"
"88","111","111","\N","2016-12-22 17:04:35","2016-12-22 17:04:35","\N","2829","11","2016-10-20","2073-07-04","\N","Open","\N","\N","\N","\N"
"89","106","106","\N","2016-12-22 17:05:09","2016-12-22 17:05:09","\N","2828","6","2016-12-05","2073-08-20","Visit","In Progress","Booked the vehicle","t","2016-12-14","2073-08-29"
"90","111","111","\N","2016-12-22 17:07:14","2016-12-22 17:07:14","\N","2830","11","2016-10-20","2073-07-04","\N","Open","\N","\N","\N","\N"
"91","111","111","\N","2016-12-22 17:11:35","2016-12-22 17:11:35","\N","2831","11","2016-10-20","2073-07-04","\N","Open","\N","\N","\N","\N"
"93","111","111","\N","2016-12-22 17:20:40","2016-12-22 17:20:40","\N","2833","11","2016-10-21","2073-07-05","\N","Open","\N","\N","\N","\N"
"94","111","111","\N","2016-12-22 17:26:26","2016-12-22 17:26:26","\N","2834","11","2016-10-26","2073-07-10","\N","Open","\N","\N","\N","\N"
"95","111","111","\N","2016-12-22 18:28:05","2016-12-22 18:28:05","\N","2835","11","2016-10-21","2073-07-05","\N","Open","\N","\N","\N","\N"
"96","111","111","\N","2016-12-22 18:31:09","2016-12-22 18:31:09","\N","2836","11","2016-10-22","2073-07-06","\N","Open","\N","\N","\N","\N"
"97","111","111","\N","2016-12-22 18:33:46","2016-12-22 18:33:46","\N","2837","11","2016-10-22","2073-07-06","\N","Open","\N","\N","\N","\N"
"98","111","111","\N","2016-12-22 18:36:06","2016-12-22 18:36:06","\N","2838","11","2016-10-23","2073-07-07","\N","Open","\N","\N","\N","\N"
"99","111","111","\N","2016-12-22 18:38:16","2016-12-22 18:38:16","\N","2839","11","2016-10-23","2073-07-07","\N","Open","\N","\N","\N","\N"
"100","111","111","\N","2016-12-22 18:40:49","2016-12-22 18:40:49","\N","2840","11","2016-10-24","2073-07-08","\N","Open","\N","\N","\N","\N"
"101","111","111","\N","2016-12-22 18:43:07","2016-12-22 18:43:07","\N","2841","11","2016-10-24","2073-07-08","\N","Open","\N","\N","\N","\N"
"102","111","111","\N","2016-12-22 18:45:05","2016-12-22 18:45:05","\N","2842","11","2016-10-24","2073-07-08","\N","Open","\N","\N","\N","\N"
"103","111","111","\N","2016-12-22 18:50:01","2016-12-22 18:50:01","\N","2843","11","2016-10-26","2073-07-10","\N","Open","\N","\N","\N","\N"
"104","111","111","\N","2016-12-22 18:52:22","2016-12-22 18:52:22","\N","2844","11","2016-10-26","2073-07-10","\N","Open","\N","\N","\N","\N"
"105","111","111","\N","2016-12-22 18:54:18","2016-12-22 18:54:18","\N","2845","11","2016-10-26","2073-07-10","\N","Open","\N","\N","\N","\N"
"106","111","111","\N","2016-12-22 18:57:46","2016-12-22 18:57:46","\N","2846","11","2016-10-27","2073-07-11","\N","Open","\N","\N","\N","\N"
"107","111","111","\N","2016-12-22 18:59:57","2016-12-22 18:59:57","\N","2847","11","2016-10-27","2073-07-11","\N","Open","\N","\N","\N","\N"
"108","111","111","\N","2016-12-22 19:03:38","2016-12-22 19:03:38","\N","2848","11","2016-10-27","2073-07-11","\N","Open","\N","\N","\N","\N"
"109","111","111","\N","2016-12-22 19:06:09","2016-12-22 19:06:09","\N","2849","11","2016-10-27","2073-07-11","\N","Open","\N","\N","\N","\N"
"110","111","111","\N","2016-12-22 19:09:20","2016-12-22 19:09:20","\N","2850","11","2016-10-27","2073-07-11","\N","Open","\N","\N","\N","\N"
"111","111","111","\N","2016-12-22 19:11:48","2016-12-22 19:11:48","\N","2851","11","2016-10-27","2073-07-11","\N","Open","\N","\N","\N","\N"
"112","111","111","\N","2016-12-22 19:13:41","2016-12-22 19:13:41","\N","2852","11","2016-10-27","2073-07-11","\N","Open","\N","\N","\N","\N"
"113","111","111","\N","2016-12-22 19:17:13","2016-12-22 19:17:13","\N","2853","11","2016-10-29","2073-07-13","\N","Open","\N","\N","\N","\N"
"114","111","111","\N","2016-12-22 19:19:14","2016-12-22 19:19:14","\N","2854","11","2016-10-29","2073-07-13","\N","Open","\N","\N","\N","\N"
"115","111","111","\N","2016-12-22 19:21:52","2016-12-22 19:21:52","\N","2855","11","2016-10-29","2073-07-13","\N","Open","\N","\N","\N","\N"
"116","111","111","\N","2016-12-22 19:24:13","2016-12-22 19:24:13","\N","2856","11","2016-10-29","2073-07-13","\N","Open","\N","\N","\N","\N"
"117","111","111","\N","2016-12-22 19:26:14","2016-12-22 19:26:14","\N","2857","11","2016-10-29","2073-07-13","\N","Open","\N","\N","\N","\N"
"118","111","111","\N","2016-12-22 19:29:14","2016-12-22 19:29:14","\N","2858","11","2016-10-31","2073-07-15","\N","Open","\N","\N","\N","\N"
"119","111","111","\N","2016-12-22 19:32:30","2016-12-22 19:32:30","\N","2859","11","2016-10-31","2073-07-15","\N","Open","\N","\N","\N","\N"
"120","111","111","\N","2016-12-22 19:35:25","2016-12-22 19:35:25","\N","2860","11","2016-11-05","2073-07-20","\N","Open","\N","\N","\N","\N"
"121","111","111","\N","2016-12-22 19:37:35","2016-12-22 19:37:35","\N","2861","11","2016-11-05","2073-07-20","\N","Open","\N","\N","\N","\N"
"122","111","111","\N","2016-12-22 19:39:41","2016-12-22 19:39:41","\N","2862","11","2016-11-05","2073-07-20","\N","Open","\N","\N","\N","\N"
"123","111","111","\N","2016-12-22 19:41:52","2016-12-22 19:41:52","\N","2863","11","2016-11-05","2073-07-20","\N","Open","\N","\N","\N","\N"
"124","111","111","\N","2016-12-22 19:43:44","2016-12-22 19:43:44","\N","2864","11","2016-11-05","2073-07-20","\N","Open","\N","\N","\N","\N"
"125","111","111","\N","2016-12-22 19:51:37","2016-12-22 19:51:37","\N","2865","11","2016-11-06","2073-07-21","\N","Open","\N","\N","\N","\N"
"126","111","111","\N","2016-12-22 19:54:28","2016-12-22 19:54:28","\N","2866","11","2016-11-06","2073-07-21","\N","Open","\N","\N","\N","\N"
"128","111","111","\N","2016-12-23 11:25:19","2016-12-23 11:25:19","\N","2868","11","2016-10-30","2073-07-14","\N","Open","\N","\N","\N","\N"
"129","111","111","\N","2016-12-23 11:31:25","2016-12-23 11:31:25","\N","2869","11","2016-11-13","2073-07-28","\N","Open","\N","\N","\N","\N"
"130","111","111","\N","2016-12-23 11:33:30","2016-12-23 11:33:30","\N","2870","11","2016-11-18","2073-08-03","\N","Open","\N","\N","\N","\N"
"131","111","111","\N","2016-12-23 11:35:51","2016-12-23 11:35:51","\N","2871","11","2016-11-23","2073-08-08","\N","Open","\N","\N","\N","\N"
"132","111","111","\N","2016-12-23 11:47:46","2016-12-23 11:47:46","\N","2872","11","2016-12-07","2073-08-22","\N","Open","\N","\N","\N","\N"
"133","111","111","\N","2016-12-23 11:50:42","2016-12-23 11:50:42","\N","2873","11","2016-12-07","2073-08-22","\N","Open","\N","\N","\N","\N"
"134","111","111","\N","2016-12-23 11:54:40","2016-12-23 11:54:40","\N","2874","11","2016-12-14","2073-08-29","\N","Open","\N","\N","\N","\N"
"135","111","111","\N","2016-12-23 12:00:08","2016-12-23 12:00:08","\N","2875","11","2016-12-16","2073-09-01","\N","Open","\N","\N","\N","\N"
"137","108","108","\N","2016-12-23 12:12:56","2016-12-23 12:12:56","\N","2877","8","2016-10-22","2073-07-06","\N","Open","\N","\N","\N","\N"
"138","108","108","\N","2016-12-23 12:17:05","2016-12-23 12:17:05","\N","2878","8","2016-10-23","2073-07-07","\N","Open","\N","\N","\N","\N"
"140","108","108","\N","2016-12-23 12:19:03","2016-12-23 12:19:03","\N","2880","8","2016-10-23","2073-07-07","\N","Open","\N","\N","\N","\N"
"141","108","108","\N","2016-12-23 12:25:36","2016-12-23 12:25:36","\N","2881","8","2016-10-29","2073-07-13","\N","Open","\N","\N","\N","\N"
"144","108","108","\N","2016-12-23 12:42:44","2016-12-23 12:42:44","\N","2884","8","2016-10-29","2073-07-13","\N","Open","\N","\N","\N","\N"
"146","108","108","\N","2016-12-23 12:55:17","2016-12-23 12:55:17","\N","2886","8","2016-10-29","2073-07-13","\N","Open","\N","\N","\N","\N"
"147","108","108","\N","2016-12-23 12:58:07","2016-12-23 12:58:07","\N","2887","8","2016-11-07","2073-07-22","\N","Open","\N","\N","\N","\N"
"148","108","108","\N","2016-12-23 13:00:04","2016-12-23 13:00:04","\N","2888","8","2016-11-07","2073-07-22","\N","Open","\N","\N","\N","\N"
"149","108","108","\N","2016-12-23 13:02:21","2016-12-23 13:02:21","\N","2889","8","2016-11-07","2073-07-22","\N","Open","\N","\N","\N","\N"
"151","106","106","\N","2016-12-23 13:06:40","2016-12-23 13:06:40","\N","2890","6","2016-11-14","2073-07-29","Visit","In Progress","Already booked vehicle","t","2016-12-26","2073-09-11"
"152","106","106","\N","2016-12-23 13:09:30","2016-12-23 13:09:30","\N","2885","6","2016-11-28","2073-08-13","Visit","Completed","Didn't get the expected valuation(Rs.2300000) of old vehicle so cancelled to buy new vehicle.","f","\N","\N"
"145","106","106","\N","2016-12-23 12:50:14","2017-01-31 11:16:28","\N","2885","6","2016-12-26","2073-09-11","Phone","Completed","","f","\N","\N"
"80","106","106","\N","2016-12-22 14:19:21","2017-01-31 11:18:04","\N","2823","6","2016-12-22","2073-09-07","Phone","Completed","","f","\N","\N"
"79","104","104","\N","2016-12-22 13:40:06","2017-01-31 11:22:50","\N","2822","4","2016-12-24","2073-09-09","Phone","Completed","","f","\N","\N"
"78","104","104","\N","2016-12-22 13:36:13","2017-01-31 11:23:05","\N","2821","4","2016-12-24","2073-09-09","Phone","Completed","","f","\N","\N"
"81","106","106","\N","2016-12-22 14:30:10","2017-01-31 12:04:03","\N","2824","6","2016-12-18","2073-09-03","Visit","Completed","","f","\N","\N"
"127","106","106","\N","2016-12-23 10:43:24","2017-01-31 12:10:34","\N","2867","6","2017-01-31","2073-08-30","Visit","Completed","Already delivered Brezza Vdi(O).","f","\N","\N"
"92","106","106","\N","2016-12-22 17:19:44","2017-02-05 15:40:52","\N","2832","6","2017-02-05","2073-10-23","Phone","Completed","","f","\N","\N"
"136","106","106","\N","2016-12-23 12:11:57","2017-02-05 16:58:47","\N","2876","6","2017-02-05","2073-10-23","Phone","Completed","","f","\N","\N"
"139","106","106","\N","2016-12-23 12:18:50","2017-02-05 17:03:38","\N","2879","6","2017-02-05","2073-10-23","Phone","Completed","","f","\N","\N"
"77","104","104","\N","2016-12-22 13:31:46","2017-02-06 11:29:10","\N","2820","4","2017-02-06","2073-10-24","Phone","Completed","","f","\N","\N"
"87","106","106","\N","2016-12-22 17:03:02","2017-02-06 13:17:30","\N","2828","6","2017-02-06","2073-10-24","Phone","Completed","","f","\N","\N"
"5","103","2","\N","2016-12-20 16:52:47","2016-12-23 13:17:35","\N","2764","3","2016-12-23","2073-09-08","Phone","Completed","No more following needed","f","\N","\N"
"154","108","108","\N","2016-12-23 13:20:01","2016-12-23 13:20:01","\N","2892","8","2016-11-14","2073-07-29","\N","Open","\N","\N","\N","\N"
"156","108","108","\N","2016-12-23 13:22:31","2016-12-23 13:22:31","\N","2894","8","2016-11-14","2073-07-29","\N","Open","\N","\N","\N","\N"
"157","106","106","\N","2016-12-23 13:24:34","2016-12-23 13:24:34","\N","2893","6","2016-12-09","2073-08-24","Phone","Postponed","Not yet decided family decision awaiting. Will contact himself.","f","\N","\N"
"159","108","108","\N","2016-12-23 13:34:24","2016-12-23 13:34:24","\N","2896","8","2016-11-17","2073-08-02","\N","Open","\N","\N","\N","\N"
"160","108","108","\N","2016-12-23 13:37:32","2016-12-23 13:37:32","\N","2897","8","2016-11-18","2073-08-03","\N","Open","\N","\N","\N","\N"
"162","106","106","\N","2016-12-23 13:40:54","2016-12-23 13:40:54","\N","2898","6","2016-12-06","","Visit","Postponed","Family decision awaiting.","t","2016-12-12","2073-08-27"
"164","106","106","\N","2016-12-23 13:47:35","2016-12-23 13:47:35","\N","2899","6","2016-12-11","","Phone","Postponed","Will contact himself later after making decision. ","f","\N","\N"
"165","108","108","\N","2016-12-23 13:56:23","2016-12-23 13:56:23","\N","2900","8","2016-11-19","2073-08-04","\N","Open","\N","\N","\N","\N"
"166","108","108","\N","2016-12-23 13:59:26","2016-12-23 13:59:26","\N","2901","8","2016-11-21","2073-08-06","\N","Open","\N","\N","\N","\N"
"167","108","108","\N","2016-12-23 14:03:09","2016-12-23 14:03:09","\N","2902","8","2016-11-23","2073-08-08","\N","Open","\N","\N","\N","\N"
"169","106","106","\N","2016-12-23 14:05:17","2016-12-23 14:05:17","\N","2903","6","2016-12-01","2073-08-16","Phone","In Progress","Already send quotation.","f","\N","\N"
"170","108","108","\N","2016-12-23 14:05:43","2016-12-23 14:05:43","\N","2904","8","2016-12-02","2073-08-17","\N","Open","\N","\N","\N","\N"
"171","108","108","\N","2016-12-23 14:08:01","2016-12-23 14:08:01","\N","2905","8","2016-12-02","2073-08-17","\N","Open","\N","\N","\N","\N"
"173","108","108","\N","2016-12-23 14:10:39","2016-12-23 14:10:39","\N","2907","8","2016-12-02","2073-08-17","\N","Open","\N","\N","\N","\N"
"175","108","108","\N","2016-12-23 14:14:29","2016-12-23 14:14:29","\N","2909","8","2016-12-05","2073-08-20","\N","Open","\N","\N","\N","\N"
"176","108","108","\N","2016-12-23 14:17:47","2016-12-23 14:17:47","\N","2910","8","2016-12-05","2073-08-20","\N","Open","\N","\N","\N","\N"
"177","108","108","\N","2016-12-23 14:32:32","2016-12-23 14:32:32","\N","2911","8","2016-12-11","2073-08-26","\N","Open","\N","\N","\N","\N"
"178","108","108","\N","2016-12-23 14:39:23","2016-12-23 14:39:23","\N","2912","8","2016-12-11","2073-08-26","\N","Open","\N","\N","\N","\N"
"179","108","108","\N","2016-12-23 14:41:41","2016-12-23 14:41:41","\N","2913","8","2016-12-14","2073-08-29","\N","Open","\N","\N","\N","\N"
"180","108","108","\N","2016-12-23 14:43:56","2016-12-23 14:43:56","\N","2914","8","2016-12-14","2073-08-29","\N","Open","\N","\N","\N","\N"
"181","108","108","\N","2016-12-23 14:47:31","2016-12-23 14:47:31","\N","2915","8","2016-12-18","2073-09-03","\N","Open","\N","\N","\N","\N"
"182","108","108","\N","2016-12-23 14:50:11","2016-12-23 14:50:11","\N","2916","8","2016-12-18","2073-09-03","\N","Open","\N","\N","\N","\N"
"183","108","108","\N","2016-12-23 14:52:09","2016-12-23 14:52:09","\N","2917","8","2016-12-18","2073-09-03","\N","Open","\N","\N","\N","\N"
"184","107","107","\N","2016-12-23 15:12:20","2016-12-23 15:12:20","\N","2918","7","2016-10-22","2073-07-06","\N","Open","\N","\N","\N","\N"
"185","107","107","\N","2016-12-23 15:14:00","2016-12-23 15:14:00","\N","2919","7","2016-10-22","2073-07-06","\N","Open","\N","\N","\N","\N"
"186","107","107","\N","2016-12-23 15:15:43","2016-12-23 15:15:43","\N","2920","7","2016-10-23","2073-07-07","\N","Open","\N","\N","\N","\N"
"187","107","107","\N","2016-12-23 15:18:02","2016-12-23 15:18:02","\N","2921","7","2016-10-26","2073-07-10","\N","Open","\N","\N","\N","\N"
"188","107","107","\N","2016-12-23 15:20:50","2016-12-23 15:20:50","\N","2922","7","2016-10-26","2073-07-10","\N","Open","\N","\N","\N","\N"
"189","107","107","\N","2016-12-23 15:26:54","2016-12-23 15:26:54","\N","2923","7","2016-10-30","2073-07-14","\N","Open","\N","\N","\N","\N"
